昵称,点赞时,评论,时间
Jay.Chou.is.my.idol,0,送你一杯奶茶，出一首歌好吗😏,1569167829
阿time,0,好听啊，非惊艳，但耐听😚😚,1569167825
༄执ི࿆念ོྀ࿆࿆࿐௸,0,摸摸大了啊？！？！？！我在忙吗我的任务啊我的钱就是我的钱都在干嘛去了，然后,1569167785
🤖,2,相互还是喜欢，只是没有再在一起的理由了,1569167777
☞ 我不是魔术师™s☠aR...,0,蔡依林不来匿名评论吗？,1569167775
peter pan,1,可能再也不会联络了！,1569167737
王特别,1,听一遍 哭一遍,1569167718
若能初见',2,没有了联系，但是我会想你的，别哭,1569167713
果子🍏,1,我坤坤那么年轻就比他厉害了多少,1569167710
peter pan,1,说好不哭！😁😁，每天微笑😊,1569167706
果子🍏,0,我坤坤那么年轻就比他厉害了多少,1569167701
L.o.o,1,没有了联络，后来的生活，我没处听说……,1569167694
戈  多.,0,活在当下活在当下活在当下,1569167683
Levi,0,我坤坤那么年轻就比他厉害了多少,1569167675
☀ Sunshine,0,晚安！不太开心的一天！😊,1569167622
拥之则安ᝰ,1,导入过来的。,1569167585
戒不掉的、思恋 &L,1,爱了,1569167577
笑,1,那些连说话都轻声细语 随时能注意到你情绪变化的人 才是人间宝藏,1569167518
兵慌,2,放不下的是只会是我，但我会试着放弃了，我总不可能拽着不放,1569167513
優しいあの子,0,晚安,1569167508
Climber,0,我坤坤那么年轻就比他厉害了多少,1569167506
婷ting_,1,听了真的好想哭,1569167505
圆子,0,我坤坤那么年轻就比他厉害了多少,1569167416
😊,3,在同一所的时候天天一起，我外宿，他住宿，他会在校门口等我一起进学校，晚上会给我送吃的，知道我不舒服了会担心得翻墙出来看我，记得有次还下着中雨，毕业了就异地恋了，好不容易我来到了他在的城市，但他要去当兵了，我们还是异地恋，不知下一次见面是何时，希望所有的有情人都能走过坎坷,1569167394
、小强要奋斗 り,0,满满的惊喜。听得我的心暖暖的,1569167394
